Name,Value,Byte Offset,Type
_child74,"0.00, 0.00, 0.00, 0.00",2592,float4
_child75,"0.00, 1.00, 0.00, 0.00",2608,float4
_child76,"0.00, 0.00, 0.00, 1.00",2624,float4
_child77,"0.00, 0.00, 0.00, 0.00",2640,float4
_child78,"0.00, 0.00, 0.00, 0.00",2656,float4
_child79,"0.00, 0.00, 0.00, 0.00",2672,float4
_child80,"0.00, 0.00, 0.00, 0.00",2688,float4
_child81,"0.00, 0.00, 0.00, 0.00",2704,float4
_child82,"0.00, 0.00, 0.00, 0.00",2720,float4
_child83,"0.00, 0.00, 0.00, 0.00",2736,float4
_child84,"0.50, 0.375, 2.00, -0.75",2752,float4
_child85,"0.88, -50.50, 0.9901, 100.00",2768,float4
_child86,"2.00, -1.00, 0.50, 0.50",2784,float4
_child87,"1.00, 0.00, 0.00, 0.00",2800,float4
_child88,"0.00, 0.00, 0.00, 0.00",2816,float4
_child89,"1.00, 1.00, 1.00, 1.00",2832,float4
_child90,"0.00, 0.00, 0.00, 0.00",2848,float4
_child91,"200.00, 300.00, 1.00, 0.00",2864,float4
_child92,"1.00, 1.00, 1.00, 0.00",2880,float4
_child93,"0.25, 26.01332, 25.99664, 0.45263",2896,float4
_child94,"1.00, 1.00, 1.00, 0.00",2912,float4
_child95,"1.00, 1.00, 1.00, 0.00",2928,float4
_child96,"0.00, 1.00, 0.00, 0.00",2944,float4
_child97,"-710.11267, 235.17313, -1150.84998, 26.64717",2960,float4
_child98,"1.00, 1.00, 1.00, 1.00",2976,float4
_child99,"0.00, 0.00, 0.00, 0.00",2992,float4
_child100,"114.514, 114.514, 114.514, 114.514",3008,float4
_child101,"1.00, 1.10, 0.70, 0.90",3024,float4
_child102,"0.00, 1.00, 1.00, 1.00",3040,float4
_child103,"0.87831, 0.93023, 1.12169, 1.00",3056,float4
_child104,"1.18701, 0.92723, 0.81299, 1.00",3072,float4
_child105,"1.00, 0.86604, 0.86604, 1.00",3088,float4
_child106,"1.00, 1.00, 1.00, 1.00",3104,float4
_child107,"0.00, 1.00, 4.37114E-08, 0.00",3120,float4
_child108,"0.15, 1.50, 0.50, 0.00",3136,float4
_child109,"0.00, 0.00, 0.00, 1.00",3152,float4
_child110,"8.74228E-08, -1.00, 0.00, 0.40",3168,float4
_child111,"0.00, 1.00, 2.00, -100.00",3184,float4
_child112,"-0.26339, 0.58779, 0.76494, 0.00",3200,float4
